rxns	kcats	EC_Numbers
r_0001	1500;1500;1500;1500	EC1.1.2.4;EC1.1.2.4;EC1.1.99.- EC1.1.2.4;EC1.1.99.- EC1.1.2.4
r_0002	1500;1500	EC1.1.99.- EC1.1.2.4;EC1.1.99.- EC1.1.2.4
r_0003	2258.6667	EC1.1.1.4
r_0004	372;372	EC1.1.2.3;EC1.1.2.3
r_0005	13.3333;13.3333;13.3333	EC2.4.1.34;EC2.4.1.34;EC2.4.1.34 EC2.3.1.199
r_0006		
r_0007	32	EC5.3.1.16
r_0012	1.5	EC1.2.1.88
r_0013	11.8	EC3.1.3.77 EC1.13.11.54
r_0014	0.099	EC5.4.99.28 EC3.5.4.26
r_0015	0.00066667	EC1.1.1.302
r_0016	16.1;16.1	EC2.2.1.6;EC2.2.1.6
r_0017	2.2917	EC4.1.2.25 EC2.7.6.3 EC2.5.1.15
r_0018	1540;1200;1540	EC2.6.1.39 EC2.6.1.57 EC2.6.1.7;EC2.6.1.39 EC2.6.1.57;EC2.6.1.7
r_0019	25	EC1.1.1.169
r_0020	122;122	EC2.5.1.54;EC2.5.1.54
r_0021	7	EC2.7.-.- EC1.14.13.- EC2.1.1.201 EC2.1.1.64 EC2.1.1.114
r_0022	987	EC2.7.-.- EC1.14.13.- EC2.1.1.201 EC2.1.1.64 EC2.1.1.114
r_0023	9.27	EC4.2.1.33
r_0024	13.79;13.79	EC2.3.3.13;EC2.3.3.13
r_0025	13.79	EC2.3.3.13
r_0026	1075;1075;1200;1540	EC2.6.1.42;EC2.6.1.42;EC2.6.1.39 EC2.6.1.57;EC2.6.1.57 EC2.6.1.7
r_0027	2.5	EC4.2.1.36
r_0028	167	EC2.3.3.1
r_0029	1236	EC2.6.1.42
r_0030	1236	EC2.6.1.42
r_0032	11	EC3.1.3.7
r_0033	21;6.7	EC3.1.4.17;EC3.1.4.53
r_0034	6.7	EC3.1.4.53
r_0035	6.7	EC3.1.4.53
r_0036	6.7	EC3.1.4.53
r_0037	6.7	EC3.1.4.53
r_0038	7	EC4.1.99.12
r_0039	310	EC4.2.3.4 EC2.5.1.19 EC2.7.1.71 EC4.2.1.10 EC1.1.1.25
r_0040	310	EC4.2.3.4 EC2.5.1.19 EC2.7.1.71 EC4.2.1.10 EC1.1.1.25
r_0041	1.07	EC1.1.1.102
r_0042	122;122	EC2.5.1.54;EC2.5.1.54
r_0043	50.6;50.6	EC1.18.1.6;EC1.18.1.6
r_0044	2.15	EC2.5.1.129 EC4.1.1.102
r_0045	3.5	EC3.7.1.3
r_0057	388	EC4.2.1.119 EC1.1.1.n12
r_0058	25	EC1.13.11.6
r_0059	7	EC2.1.1.145
r_0060	9.27	EC4.2.1.33
r_0061	9.05	EC1.1.1.85
r_0062	207;570;570	EC4.1.1.1;EC4.1.1.- EC4.1.1.1 EC4.1.1.43 EC4.1.1.74;EC4.1.1.- EC4.1.1.1
r_0063	0.783	EC2.1.2.11
r_0064	570;207;570;570	EC4.1.1.-;EC4.1.1.1;EC4.1.1.- EC4.1.1.1 EC4.1.1.43 EC4.1.1.74;EC4.1.1.- EC4.1.1.1
r_0065	33.6	EC4.2.3.4 EC2.5.1.19 EC2.7.1.71 EC4.2.1.10 EC1.1.1.25
r_0066	0.017	EC2.6.1.85
r_0067	0.0276	EC4.1.3.38
r_0068	15.4	EC2.6.1.19
r_0069	3.5	EC4.2.3.1
r_0070		
r_0072	8.5	EC4.1.1.-
r_0073	38;0.8	EC2.7.4.21 EC2.7.4.24;EC3.6.1.52 EC3.6.1.60
r_0074	0.03	EC2.7.4.21
r_0075	0.26	EC2.4.2.28
r_0076	833;833	EC3.1.3.-;EC3.1.3.-
r_0077	375.8333	EC3.1.3.99
r_0078	833;833	EC3.1.3.-;EC3.1.3.-
r_0079	0.05	EC6.3.5.3
r_0080	160;160	EC1.5.1.20;EC1.5.1.20
r_0081	0.658	EC2.3.1.37
r_0082	0.8	EC3.6.1.52 EC3.6.1.60
r_0083	0.03	EC2.7.4.21
r_0084	1	EC6.3.3.2
r_0085	0.33	EC2.1.1.14
r_0086	16.5	EC4.2.1.109
r_0087	16700	EC5.3.1.23
r_0088	38	EC2.7.4.21 EC2.7.4.24
r_0089	38	EC2.7.4.21 EC2.7.4.24
r_0090	0.14;0.14	EC2.7.1.105;EC2.7.1.105
r_0091	3376.5;3376.5	EC3.1.1.31;EC3.1.1.31
r_0092	38;0.8	EC2.7.4.21 EC2.7.4.24;EC3.6.1.52 EC3.6.1.60
r_0093	0.03	EC2.7.4.21
r_0094		
r_0095	207;570;570	EC4.1.1.1;EC4.1.1.- EC4.1.1.1 EC4.1.1.43 EC4.1.1.74;EC4.1.1.- EC4.1.1.1
r_0096	0.98	EC1.1.1.86
r_0097	8.05;8.05	EC2.2.1.6;EC2.2.1.6
r_0099		
r_0100	14.8	EC2.3.1.16
r_0101	14.8	EC2.3.1.16
r_0102	14.8	EC2.3.1.16
r_0103	900	EC2.3.1.9
r_0104	900	EC2.3.1.9
r_0105	14.8	EC2.3.1.16
r_0106	14.8	EC2.3.1.16
r_0107	14.8	EC2.3.1.16
r_0108	11.8	EC6.4.1.2 EC6.3.4.14
r_0109	1.23	EC6.3.4.14
r_0111	7.26	EC3.1.2.1
r_0112	9400;9400	EC6.2.1.1;EC6.2.1.1
r_0113	9400	EC6.2.1.1
r_0114	9400	EC6.2.1.1
r_0115	7.7	EC1.2.1.38 EC2.7.2.8
r_0116	929.04;929.04;929.04;929.04	EC3.1.3.2;EC3.1.3.2;EC3.1.3.2;EC3.1.3.2
r_0117	1.422	EC4.2.1.79
r_0118	1.55	EC2.6.1.11
r_0119	0.24	EC2.7.8.7
r_0120	1.53	EC1.3.3.6
r_0121	8.59	EC1.3.3.6
r_0122	8.59	EC1.3.3.6
r_0123	78	EC1.3.3.6
r_0124	8.59	EC1.3.3.6
r_0125	8.59	EC1.3.3.6
r_0126	10326.3933	EC2.3.1.26
r_0127	10326.3933;10326.3933	EC2.3.1.26;EC2.3.1.26
r_0128	10326.3933	EC2.3.1.26
r_0129	10326.3933	EC2.3.1.26
r_0130	10326.3933	EC2.3.1.26
r_0131	10326.3933	EC2.3.1.26
r_0132	10326.3933;10326.3933	EC2.3.1.26;EC2.3.1.26
r_0133	10326.3933	EC2.3.1.26
r_0134	10326.3933	EC2.3.1.26
r_0135	10326.3933	EC2.3.1.26
r_0137	0.16	EC2.3.-.-
r_0138	5.5	EC3.5.4.2
r_0139	2.8;2.8	EC2.4.2.7;EC2.4.2.7
r_0140	5.5	EC3.5.4.2
r_0142	25.5	EC2.7.1.20
r_0143	474.8983	EC3.5.4.6
r_0144	0.79	EC3.3.1.1
r_0145	1.7	EC4.1.1.50
r_0146	0.0012	EC2.6.1.62
r_0147	34	EC4.6.1.1
r_0148	50;50	EC2.7.4.3;EC2.7.4.3
r_0149	117	EC2.7.4.10
r_0150	117	EC2.7.4.10
r_0151	7.5	EC4.3.2.2
r_0152	7.5	EC4.3.2.2
r_0153	5.5	EC6.3.4.4
r_0154	4.4	EC2.7.1.25
r_0155	940	EC3.1.4.37
r_0156	131	EC2.6.1.44
r_0157	120	EC6.1.1.7
r_0158	3890;3890	EC2.3.1.84;EC2.3.1.84
r_0159	3890;3890	EC2.3.1.84;EC2.3.1.84
r_0160	3890;3890	EC2.3.1.84;EC2.3.1.84
r_0161	3890;3890	EC2.3.1.84;EC2.3.1.84
r_0162	3890;3890	EC2.3.1.84;EC2.3.1.84
r_0163	895.4	EC1.1.1.1
r_0164	117.5;0.55	EC1.1.1.-;EC1.1.1.21 EC1.1.1.-
r_0165	283;283	EC1.1.1.1;EC1.1.1.1
r_0166	8.88;34.5;8.88	EC1.1.1.1;EC1.1.1.284 EC1.1.1.1 EC1.1.1.-;EC1.1.1.1
r_0167	8.88;8.88	EC1.1.1.1;EC1.1.1.1
r_0168	6.5;117.5;6.5	EC1.1.1.2;EC1.1.1.-;EC1.1.1.2
r_0169	8.88;34.5;8.88	EC1.1.1.1;EC1.1.1.284 EC1.1.1.1 EC1.1.1.-;EC1.1.1.1
r_0170	8.88;8.88	EC1.1.1.1;EC1.1.1.1
r_0171	6.5;6.5	EC1.1.1.2;EC1.1.1.2
r_0172	67.5;67.5;67.5	EC1.2.1.3;EC1.2.1.3;EC1.2.1.3
r_0173	0.75	EC1.2.1.4
r_0174	35.9	EC1.2.1.5
r_0175	35.9;35.9	EC1.2.1.5;EC1.2.1.5
