ID	NAME	KEGGID	KEGGMAP	SUBSYSTEM
r0012_c0_f	atp_d_ribose_5_phosphotransferase_c0	R01051	map00030	Carbohydrate metabolism
r0017_c0	fructokinase_c0	R00760	map00500|map01100	Carbohydrate metabolism
r0019_e0_f	inorganic_phosphate_transporter_ript1_4_e0			Transport
r0020_c0	acetate_coa_ligase_amp_forming_c0	R00235	map00010|map00680|map00720|map01110|map01200	Carbohydrate metabolism
r0032_c0_f	atp_r_mevalonate_5_phosphotransferase_c0	R02245	map00900|map01110	Terpenoid backbone biosynthesis
r0043_r0_f	delta_7_sterol_5_6_desaturase_c0	R07505	map00100|map01100|map01130	Lipid and fatty acid metabolism
r0048_m0	acetate_coa_ligase_amp_forming_m0	R00235	map00010|map00680|map00720|map01110|map01200	Carbohydrate metabolism
r0053_c0_f	adenosine_3_5_bisphosphate_3_phosphohydrolase_c0	R00188		Nucleotide metabolism
r0107_c0_f	gtp_7_8_8_9_dihydrolase_c0	R00424		Metabolism of cofactors and vitamins
r0172_c0_f	isopentenyl_diphosphate_delta3_delta2_isomerase_c0	R01123	map00900|map01110	Terpenoid backbone biosynthesis
r0208_c0_f	atp_nad_plus_2_phosphotransferase_c0	R00104	map00760	Metabolism of cofactors and vitamins
r0214_c0_f	5_phosphoribosylamine_diphosphate_phospho_alpha_d_ribosyltransferase_glutamate_amidating_c0	R01072	map00230|map00250|map01110	Nucleotide metabolism
r0217_c0_f	mevalonate_nadp_plus_oxidoreductase_coa_acylating_c0	R02082	map00900|map01110	Terpenoid backbone biosynthesis
r0228_m0_f	n2_acetyl_l_ornithine_2_oxoglutarate_aminotransferase_m0	R02283	map00330|map01110|map01210|map01230	Amino acid metabolism
r0239_c0	pyruvate_carboxylase_c0	R00344	map00020|map00620|map00720|map01200|map01230	Carbohydrate metabolism
r0258_c0	o_phospho_l_serine_phosphohydrolase_c0	R00582	map00260|map00680|map01200|map01230	Amino acid metabolism
r0263_c0_f	1_5_phospho_d_ribosyl_5_amino_4_imidazolecarboxylate_carboxy_lyase_c0	R04209	map00230|map01110	Nucleotide metabolism
r0274_c0	acetaldehyde_nad_plus_oxidoreductase_c0	R00710	map00010|map00620|map01110	Carbohydrate metabolism
r0299_c0_f	alpha_d_glucose_1_phosphate_1_6_phosphomutase_c0	R00959	map00010|map00052|map00500|map00520|map00521|map01110	Carbohydrate metabolism
r0371_c0	atp_beta_d_glucose_6_phosphotransferase_c0	R01600	map00010|map01110	Carbohydrate metabolism
r0398_m0	pyruvate_carbon_dioxide_ligase_adp_forming_m0	R00344	map00020|map00620|map00720|map01200|map01230	Carbohydrate metabolism
r0405_c0_f	glycolaldehyde_nad_plus_oxidoreductase_c0	R01333	map00630	Carbohydrate metabolism
r0415_c0_f	2_5_diamino_6_ribitylamino_4_3h_pyrimidinone_5'_phosphate_deaminase_c0	R09377	map00740	Metabolism of cofactors and vitamins
r0592_c0	l_glutamate_ammonia_ligase_adp_forming_c0	R00253	map00250|map00330|map00630|map00910|map01230	Amino acid metabolism
r0598_c0	l_serine_ammonia_lyase_c0	R00220	map00260|map01110|map01200|map01230	Amino acid metabolism
r0601_c0_f	2_3_bisphosphoglycerate_independent_phosphoglycerate_mutase_c0	R01518	map00010|map00260|map00680|map01110|map01200|map01230	Carbohydrate metabolism
r0797_r0_f	delta_7_sterol_5_desaturase_r0			Lipid and fatty acid metabolism
r0805_r0	sterol_c_5_6_desaturase_r0	R03310	map00100	Lipid and fatty acid metabolism
r0806_r0	delta_24_sterol_reductase_r0	R05703	map00100	Lipid and fatty acid metabolism
r0814_r0	long_chain_fatty_acid_coa_ligase_palmitate_r0	R01280	map00061|map00071|map01212	Lipid and fatty acid metabolism
r0817_c0_f	uridine_ribohydrolase_c0	R01080	map00240	Nucleotide metabolism
r0822_e0_f	d_glucose_transport_e0			Transport
r0824_e0_f	d_fructose_transport_e0			Transport
r0862_c0_f	g3p_transport_c0			Transport
r0868_r0	phosphatidylserine_transport_er_mito_ermes_ups2_mdm35_r0			Transport
r0870_m0	phosphatidylethanolamine_transport_mito_er_ermes_ups1_mdm35_m0			Transport
r0877_r0	ethanolamine_phosphate_cytidylyltransferase_r0	R02038	map00564	Lipid and fatty acid metabolism
r0889_r0	delta_7_sterol_5_6_desaturase_c0	R05703	map00100	Lipid and fatty acid metabolism
r0894_r0	ceramide_synthase_d18_0_16_0_r0	R06517	map00600	Lipid and fatty acid metabolism
r0895_r0	ceramide_synthase_t18_0_16_0_r0			Lipid and fatty acid metabolism
r0937_m0	threonine_dehydratase_c0	R00996	map00260|map00290|map01110|map01230	Amino acid metabolism
r1044_c0	cytidine_5_monophosphate_phosphohydrolase_c0	R00511	map00240	Nucleotide metabolism
r1073_m0	h2o2_reductase_m0			Other
r1075_c0_f	thymidylate_5_phosphohydrolase_c0	R01569	map00240	Nucleotide metabolism
r1094_x0	acetyl_coa_synthase_x0	R00235	map00010|map00680|map00720|map01110|map01200	Lipid and fatty acid metabolism
r1118_c0	lipochitooligosaccharide_n3_16_0_c0			Amino sugar and nucleotide sugar metabolism
r1119_c0	lipochitooligosaccharide_n4_16_0_c0			Amino sugar and nucleotide sugar metabolism
