Amino_acid_metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	Carbohydrate_metabolism	Inositol_phosphate_metabolism	Lipid_and_fatty_acid_metabolism	Medium	Metabolism_of_cofactors_and_vitamins	Nucleotide_metabolism	Other	Pseudoreaction	Sink	Terpenoid_backbone_biosynthesis	Transport
28.4326607053925	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	37.9068614260347	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	NaN	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	77.6666837367071	0	0	0	0	0	0	0	0
0.958505364308594	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.741053367774808	0	0	0	0	0
0	0	0	0	0	0	0	23.499851440389	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
32.5218473587082	0	32.5218473587082	0	0	0	0	0	32.5218473587082	0	0	0	0
0	0	77.4600266590653	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	NaN	0	0	0	0
0	0	13.3392968810775	0	0	0	0	0	0	0	0	0	0
0	0	109.544511501037	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	109.544511501029
0	0	77.4568801303434	0	77.4568801303434	0	0	0	0	0	0	0	0
0	0	8.91815229454906	0	0	0	8.91815229454906	0	0	0	0	0	0
0	0	0	0	0	0	1.9833729061922	0	0	0	0	0	0
0	0	28.5807431987505	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1.87204736229801	0	0	0	0	0	0
0	0	0	0	0	0	0	5.64800224338108	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5.81746855620596	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	77.6481893297501	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.762542058746131	0	0	0	0	0	0	0	0
0	0	36.4943936115523	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0158140240264316	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0.129507280368989	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	8.93405364403487	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	109.544511501039	0	0	0	0	0	0	0	0
3.24434524514072	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	13.5998324982199	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	109.544511501037	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	4.45338728594967
0	0	0	0	0	0	NaN	0	0	0	0	0	0
2.17703271316194	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	13.8888432388706	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	19.4872859687375	0	0	0	0	0
0	0	0	0	0	0	0	54.8923497481887	0	0	0	0	0
0	0	5.73637865613661	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
8.33273102333005	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	NaN	0	0	0	0	0
16.9780214406231	0	0	0	0	0	0	16.9780214406231	0	0	0	0	0
0.229071432745955	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.0171121639781948
0	0	0	0	0	0	0	0	0	0	0	0	0.0171121639781948
0	0	0	0	0	0	0	0	0	0	0	0	0.0171121639781948
0	0	0	0	0	0	0	4.6512018921267	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
7.98114718664387	0	0	0	0	0	0	0	0	0	0	0	0
11.4085919509728	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2.41399222114612	0	0	0	0	0
0	0	0	0	0	0	13.3391988011843	0	0	0	0	0	0
0	0	0.0172489010551483	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	9.59774122221193	0	0	0	0	0	0
0	0	0	0	0	0	63.3424993996109	0	0	0	0	0	0
0	0	0	0	0	0	12.4248665398171	0	0	0	0	0	0
