Amino_acid_metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	Carbohydrate_metabolism	Inositol_phosphate_metabolism	Lipid_and_fatty_acid_metabolism	Medium	Metabolism_of_cofactors_and_vitamins	Nucleotide_metabolism	Other	Pseudoreaction	Sink	Terpenoid_backbone_biosynthesis	Transport
0.462500526129175	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.421703529122637	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0.441364404526243	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.423682710647726	0	0	0	0	0
0	0	0	0	0	0	0	0.420652381277696	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0.437713867396524	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0.419119406804646	0	0	0	0	0	0	0	0	0	0
0	0	1.73214350746613	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.421591819528173
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0.419161745946219	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406367739	0	0	0	0	0	0
0	0	0.237037909990315	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.427089042594404	0	0	0	0	0	0
0	0	0	0	0	0	0	0.419119406791654	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.419119406659743	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0.419119406367739	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.419119406659743	0
0	0	0.659686876568092	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0.441364404526243	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.420185007888105	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0.424151030920473	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.430954220737184	0	0	0	0
0	0	0	0	0.43193941235251	0	0	0	0	0	0	0	0
0.44168138685437	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0.494302911096456	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0.237077518396546	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.43405259510597	0	0	0	0	0	0
0	0	0	0	109.544511501033	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.430954220737184	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.439112477554283
0.485621652565929	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.430954220737184	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0.421877198129402	0	0	0	0	0	0	0	0	0	0
0.424151030920473	0	0	0	0	0	0	0	0	0	0	0	0
0.419119407142609	0	0	0	0	0	0	0	0	0	0	0	0
0.485621676045364	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.237085444986259
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0.439987718337721	0	0	0	0	0	0	0	0	0	0	0	0
0	0.419119406768052	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.236974187688955	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0.441364404526243	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.772730558945597	0	0	0	0	0	0
0	0	0	0	0	0	0	0.419119410531244	0	0	0	0	0
0	0	0	0	0	0	109.544511501059	0	0	0	0	0	0
0	0	0.237077406132914	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406767989	0	0	0	0	0	0
0	0	0	0	0	0	0.444919636828476	0	0	0	0	0	0
0	0	0	0	0	0	0	0.420185007888105	0	0	0	0	0
0	0	0	0	0.417352673037389	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406480636	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.419119406768003	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.419119407142609	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	7.46332751464367	0	0	0	0	0
0.441364404526243	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.427089042594404	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406767947	0	0	0	0	0	0
0.48562167646517	0	0	0	0	0	0	0	0	0	0	0	0
0.485621676045447	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.427089042594404	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.421684073303004	0	0	0	0	0
0	0	0	0	0	0	0.419119406767978	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0.237077265067555	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406767978	0	0	0	0	0	0
0	0	0	0	0	0	0	0.420185007888105	0	0	0	0	0
0	0	0	0	0	0	0	0.423682710647726	0	0	0	0	0
0	0	0	0	0	0	0	0.423968806497444	0	0	0	0	0
0.419119406798253	0	0	0	0	0	0	0	0	0	0	0	0
0.424705697310359	0	0	0	0	0	0	0	0	0	0	0	0
0.485621676045447	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.237073920786675	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.421753797834636	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0.419119406768059	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0.441364404526243	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0.419119406767995	0	0	0	0	0	0	0	0
0.485621676045459	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	NaN	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	NaN	0	0	0	0
0	0	1.21501725833255	0	0	0	0	0	0	0	0	0	0
0	0	0.237057621941178	0	0	0	0	0	0	0	0	0	0
0	0	0.237077584676433	0	0	0	0	0	0	0	0	0	0
0	0	0.419119411899861	0	0	0	0	0	0	0	0	0	0
0.439987718337721	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0.485621676225873	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.419119406615091	0
0	0	0	0	0	0	0.419119406768001	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406767978	0	0	0	0	0	0
0.441364404526243	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0.430269014465342	0	0	0	0	0	0	0	0
0.419295188150815	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.237059753820018	0	0	0	0	0	0
0.419119406480635	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.419119406615091	0
0	0	0	0	0	0	0	0.437713867396524	0	0	0	0	0
0	0	0	0	0	0	0	0.48562167646517	0	0	0	0	0
0	0	0.419119406787033	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406767968	0	0	0	0	0	0
0	0	0.441364404526243	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2.9940075943919	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	NaN	0
0	0	0.237074942020557	0	0	0	0	0	0	0	0	0	0
0	0	0.237085122590473	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0.496302313846882	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	0	0.432285789868249	0	0	0	0
0	0	0	0	0	0	0	0.424705697310359	0	0	0	0	0
0	0	0	0	0	0	0	0.445302639255857	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0.488965556517859	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1.56372431375299	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0.485621676045436	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.423740780359806	0	0	0	0
0.426394917579875	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.419119406804646	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.419295188150815	0	0	0	0	0
0	0	0	1.0162892389987	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.237077648312533	0	0	0	0	0
0	0	0	0	0	0	0.434052595105963	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
28.8379232615913	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0.485621676196818	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.420185007888105	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0.485621676045447	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.419119406659743	0
0	0	0.237073950840727	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406768082	0	0	0	0	0	0
0.485621676196818	0	0	0	0	0	0	0	0	0	0	0	0
0.427089042594404	0	0	0	0	0	0	0	0	0	0	0	0
0.427434520643774	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.441364404526243	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	1.21501725833255	0	0	0	0	0	0	0	0	0	0
0.488876899175384	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.42094577990228	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0.487161595112809	0	0	0	0	0	0	0	0	0	0	0	0
