Row	EC1	EC2	EC3	EC4	EC5	EC6	EC7
S_cerevisiae	0.593607305936073	0.441379310344828	0.608974358974359	0.461538461538462	0.5	0.59375	1
R_toruloides	0.589861751152074	0.491103202846975	0.652173913043478	0.425287356321839	0.527777777777778	0.603174603174603	1
P_chrysogenum	0.616326530612245	0.44106463878327	0.572413793103448	0.489795918367347	0.5	0.597014925373134	1
L_kluyveri	1	1	1	1	1	1	1
A_terreus	0.580246913580247	0.43984962406015	0.592105263157895	0.567307692307692	0.451612903225806	0.375	1
A_oryzae	0.637065637065637	0.44043321299639	0.630952380952381	0.532110091743119	0.526315789473684	0.588235294117647	1
A_niger	0.638783269961977	0.441947565543071	0.596153846153846	0.587155963302752	0.5	0.566666666666667	1
A_nidulans	0.707762557077626	0.5	0.622047244094488	0.67	0.448275862068966	0.466666666666667	1
M_alpina	0.593073593073593	0.45993031358885	0.552447552447553	0.516129032258065	0.214285714285714	0.404761904761905	1
E_gossypii	1	1	1	1	1	1	1
K_lactis	0.587234042553191	0.365248226950355	0.582781456953642	0.434782608695652	0.419354838709677	0.568965517241379	1
Y_lipolytica	0.621890547263682	0.442307692307692	0.557522123893805	0.451219512195122	0.444444444444444	0.466666666666667	1
K_phaffii	0.642857142857143	0.455882352941177	0.619834710743802	0.439024390243902	0.548387096774194	0.603174603174603	1
N_crassa	0.618834080717489	0.475609756097561	0.598484848484849	0.515463917525773	0.567567567567568	0.5	1
