S_cerevisiae	R_toruloides	P_chrysogenum	L_kluyveri	A_terreus	A_oryzae	A_niger	A_nidulans	M_alpina	E_gossypii	K_lactis	Y_lipolytica	K_phaffii	N_crassa
1.1.1.1	1.1.1.1	1.10.2.2		1.10.2.2	1.10.2.2	1.10.2.2	1.10.2.2	1.1.1.1		1.1.1.1	1.1.1.1	1.10.2.2	1.10.2.2
1.1.1.10	1.1.1.10	1.1.1.1		1.10.3.11	1.1.1.1	1.1.1.1	1.1.1.1	1.1.1.100		1.1.1.100	1.1.1.102	1.1.1.1	1.1.1.1
1.1.1.100	1.1.1.102	1.1.1.10		1.1.1.1	1.1.1.10	1.1.1.10	1.1.1.10	1.1.1.101		1.1.1.101	1.1.1.14	1.1.1.100	1.1.1.10
1.1.1.101	1.1.1.116	1.1.1.100		1.1.1.10	1.1.1.100	1.1.1.100	1.1.1.100	1.1.1.102		1.1.1.102	1.1.1.157	1.1.1.101	1.1.1.102
1.1.1.102	1.1.1.117	1.1.1.101		1.1.1.100	1.1.1.101	1.1.1.101	1.1.1.101	1.1.1.103		1.1.1.105	1.1.1.169	1.1.1.102	1.1.1.103
1.1.1.11	1.1.1.12	1.1.1.102		1.1.1.101	1.1.1.102	1.1.1.102	1.1.1.102	1.1.1.133		1.11.1.15	1.1.1.170	1.1.1.116	1.11.1.1
1.1.1.116	1.1.1.138	1.1.1.103		1.1.1.102	1.1.1.103	1.1.1.103	1.1.1.103	1.1.1.153		1.1.1.116	1.1.1.205	1.11.1.5	1.1.1.12
1.1.1.117	1.1.1.14	1.1.1.11		1.1.1.103	1.1.1.11	1.1.1.11	1.1.1.117	1.1.1.157		1.1.1.117	1.1.1.22	1.1.1.156	1.1.1.138
1.1.1.12	1.1.1.156	1.1.1.116		1.11.1.12	1.1.1.117	1.1.1.117	1.1.1.12	1.1.1.169		1.11.1.21	1.1.1.23	1.11.1.6	1.1.1.14
1.1.1.14	1.1.1.169	1.1.1.117		1.1.1.12	1.1.1.12	1.1.1.12	1.1.1.138	1.1.1.170		1.1.1.14	1.1.1.25	1.1.1.169	1.11.1.6
1.1.1.156	1.1.1.170	1.1.1.12		1.1.1.125	1.1.1.125	1.1.1.138	1.1.1.14	1.1.1.2		1.1.1.15	1.1.1.250	1.1.1.170	1.1.1.169
1.1.1.169	1.1.1.2	1.1.1.125		1.1.1.14	1.1.1.14	1.1.1.14	1.1.1.155	1.1.1.205		1.11.1.5	1.1.1.270	1.11.1.9	1.11.1.7
1.1.1.170	1.1.1.205	1.1.1.138		1.11.1.5	1.1.1.157	1.1.1.156	1.11.1.6	1.1.1.21		1.1.1.157	1.1.1.284	1.1.1.2	1.1.1.170
1.1.1.2	1.1.1.21	1.1.1.14		1.11.1.6	1.11.1.6	1.1.1.157	1.1.1.169	1.1.1.22		1.11.1.6	1.1.1.3	1.1.1.23	1.1.1.178
1.1.1.205	1.1.1.22	1.1.1.157		1.1.1.169	1.1.1.169	1.11.1.6	1.1.1.17	1.1.1.23		1.1.1.169	1.1.1.302	1.1.1.25	1.1.1.193
1.1.1.21	1.1.1.23	1.11.1.6		1.1.1.17	1.1.1.17	1.1.1.169	1.11.1.9	1.1.1.25		1.11.1.7	1.1.1.307	1.1.1.250	1.1.1.205
1.1.1.23	1.1.1.25	1.1.1.169		1.11.1.7	1.11.1.7	1.1.1.17	1.1.1.205	1.1.1.27		1.1.1.170	1.1.1.31	1.1.1.270	1.1.1.21
1.1.1.25	1.1.1.26	1.1.1.17		1.1.1.170	1.1.1.170	1.1.1.170	1.1.1.21	1.1.1.270		1.1.1.178	1.1.1.34	1.1.1.283	1.1.1.22
1.1.1.26	1.1.1.265	1.11.1.7		1.1.1.18	1.1.1.18	1.1.1.173	1.1.1.23	1.1.1.271		1.1.1.2	1.1.1.37	1.1.1.284	1.1.1.23
1.1.1.265	1.1.1.270	1.1.1.170		1.11.1.9	1.1.1.19	1.1.1.18	1.1.1.24	1.1.1.28		1.1.1.205	1.1.1.38	1.1.1.289	1.1.1.237
1.1.1.270	1.1.1.283	1.1.1.18		1.1.1.193	1.11.1.9	1.11.1.9	1.1.1.25	1.1.1.284		1.1.1.21	1.1.1.381	1.1.1.3	1.1.1.24
1.1.1.283	1.1.1.284	1.11.1.9		1.1.1.2	1.1.1.193	1.1.1.193	1.1.1.27	1.1.1.3		1.1.1.211	1.1.1.41	1.1.1.302	1.1.1.25
1.1.1.284	1.1.1.3	1.1.1.193		1.1.1.205	1.1.1.2	1.1.1.2	1.1.1.3	1.1.1.302		1.1.1.23	1.1.1.42	1.1.1.307	1.1.1.27
1.1.1.3	1.1.1.302	1.1.1.2		1.1.1.21	1.1.1.205	1.1.1.205	1.1.1.34	1.1.1.31		1.1.1.25	1.1.1.44	1.1.1.34	1.1.1.270
1.1.1.302	1.1.1.303	1.1.1.205		1.1.1.22	1.1.1.21	1.1.1.21	1.1.1.37	1.1.1.330		1.1.1.26	1.1.1.49	1.1.1.343	1.1.1.284
1.1.1.303	1.1.1.320	1.1.1.21		1.1.1.23	1.1.1.22	1.1.1.23	1.1.1.38	1.1.1.34		1.1.1.270	1.1.1.65	1.1.1.35	1.1.1.289
1.1.1.320	1.1.1.330	1.1.1.23		1.1.1.24	1.1.1.23	1.1.1.24	1.1.1.40	1.1.1.35		1.1.1.282	1.1.1.67	1.1.1.363	1.1.1.3
1.1.1.330	1.1.1.34	1.1.1.24		1.1.1.25	1.1.1.24	1.1.1.244	1.1.1.41	1.1.1.37		1.1.1.284	1.1.1.8	1.1.1.37	1.1.1.30
1.1.1.34	1.1.1.35	1.1.1.25		1.1.1.27	1.1.1.25	1.1.1.25	1.1.1.42	1.1.1.40		1.1.1.286	1.1.1.86	1.1.1.377	1.1.1.302
1.1.1.37	1.1.1.37	1.1.1.26		1.1.1.270	1.1.1.252	1.1.1.250	1.1.1.44	1.1.1.41		1.1.1.29	1.1.1.87	1.1.1.378	1.1.1.307
1.1.1.38	1.1.1.38	1.1.1.27		1.1.1.28	1.1.1.27	1.1.1.27	1.1.1.48	1.1.1.42		1.1.1.299	1.1.1.95	1.1.1.38	1.1.1.31
1.1.1.381	1.1.1.381	1.1.1.28		1.1.1.284	1.1.1.270	1.1.1.270	1.1.1.49	1.1.1.44		1.1.1.3	1.1.2.3	1.1.1.381	1.1.1.34
1.1.1.383	1.1.1.39	1.1.1.283		1.1.1.29	1.1.1.28	1.1.1.28	1.1.1.6	1.1.1.49		1.1.1.302	1.1.2.4	1.1.1.41	1.1.1.35
1.1.1.399	1.1.1.399	1.1.1.284		1.1.1.3	1.1.1.283	1.1.1.284	1.1.1.67	1.1.1.6		1.1.1.307	1.1.3.15	1.1.1.42	1.1.1.37
1.1.1.4	1.1.1.4	1.1.1.29		1.1.1.302	1.1.1.284	1.1.1.287	1.1.1.72	1.1.1.65		1.1.1.31	1.1.5.3	1.1.1.44	1.1.1.38
1.1.1.41	1.1.1.40	1.1.1.3		1.1.1.31	1.1.1.29	1.1.1.29	1.1.1.78	1.1.1.72		1.1.1.330	1.10.2.2	1.1.1.49	1.1.1.40
1.1.1.42	1.1.1.41	1.1.1.31		1.1.1.34	1.1.1.3	1.1.1.3	1.1.1.8	1.1.1.79		1.1.1.34	1.11.1.6	1.1.1.8	1.1.1.41
1.1.1.44	1.1.1.42	1.1.1.34		1.1.1.35	1.1.1.31	1.1.1.307	1.1.1.85	1.1.1.8		1.1.1.35	1.11.1.9	1.1.1.85	1.1.1.44
1.1.1.49	1.1.1.44	1.1.1.35		1.1.1.37	1.1.1.34	1.1.1.34	1.1.1.86	1.1.1.81		1.1.1.36	1.13.11.20	1.1.1.86	1.1.1.47
1.1.1.65	1.1.1.49	1.1.1.37		1.1.1.38	1.1.1.35	1.1.1.35	1.1.1.9	1.1.1.85		1.1.1.37	1.13.11.27	1.1.1.87	1.1.1.49
1.1.1.69	1.1.1.65	1.1.1.38		1.1.1.40	1.1.1.37	1.1.1.37	1.1.1.93	1.1.1.86		1.1.1.38	1.13.11.52	1.1.1.95	1.1.1.69
1.1.1.8	1.1.1.8	1.1.1.40		1.1.1.41	1.1.1.38	1.1.1.372	1.1.1.95	1.1.1.87		1.1.1.40	1.13.11.53	1.1.2.3	1.1.1.72
1.1.1.85	1.1.1.85	1.1.1.41		1.1.1.42	1.1.1.40	1.1.1.38	1.1.2.3	1.1.1.9		1.1.1.41	1.13.11.54	1.1.2.4	1.1.1.79
1.1.1.86	1.1.1.86	1.1.1.42		1.1.1.44	1.1.1.41	1.1.1.40	1.1.2.4	1.1.1.95		1.1.1.42	1.13.11.6	1.13.11.27	1.1.1.8
1.1.1.87	1.1.1.87	1.1.1.44		1.1.1.49	1.1.1.42	1.1.1.41	1.13.11.11	1.1.11.9		1.1.1.44	1.14.13.132	1.13.11.52	1.1.1.85
1.1.1.9	1.1.1.9	1.1.1.48		1.1.1.56	1.1.1.44	1.1.1.42	1.13.11.27	1.1.3.15		1.1.1.49	1.14.13.169	1.13.11.53	1.1.1.86
1.1.1.95	1.1.1.95	1.1.1.49		1.1.1.57	1.1.1.48	1.1.1.43	1.13.11.5	1.1.3.8		1.1.1.6	1.14.13.70	1.13.11.531	1.1.1.87
1.1.2.3	1.1.2.3	1.1.1.6		1.1.1.6	1.1.1.49	1.1.1.44	1.13.11.6	1.1.5.3		1.1.1.65	1.14.13.72	1.13.11.54	1.1.1.9
1.1.2.4	1.1.2.4	1.1.1.67		1.1.1.65	1.1.1.57	1.1.1.47	1.1.3.13	1.1.99.1		1.1.1.72	1.14.13.9	1.13.11.6	1.1.1.94
1.1.3.37	1.1.2.5	1.1.1.72		1.1.1.67	1.1.1.6	1.1.1.48	1.1.3.4	1.10.2.2		1.1.1.79	1.14.19.1	1.1.3.13	1.1.1.95
1.1.5.3	1.1.3.37	1.1.1.8		1.1.1.72	1.1.1.67	1.1.1.49	1.14.13.70	1.10.3.11		1.1.1.8	1.14.21.6	1.1.3.37	1.1.2.3
